id,student_id,transport_id,datum,afstand_km,status
1,1,1,2026-04-29,24,Aanwezig
2,1,1,2026-02-19,24,Aanwezig
3,1,1,2026-01-04,24,Te laat
4,1,7,2026-01-19,24,Afwezig
5,1,9,2026-01-10,24,Afwezig
6,2,10,2026-06-14,37,Te laat
7,2,5,2026-02-20,37,Te laat
8,2,4,2026-05-13,37,Afwezig
9,2,10,2026-06-29,37,Te laat
10,2,3,2026-05-27,37,Te laat
11,3,3,2026-05-25,2,Te laat
12,3,9,2026-04-28,2,Aanwezig
13,3,9,2026-02-11,2,Aanwezig
14,3,7,2026-05-23,2,Afwezig
15,3,8,2026-03-16,2,Aanwezig
16,4,1,2026-06-21,31,Afwezig
17,4,8,2026-04-21,31,Te laat
18,4,10,2026-03-06,31,Aanwezig
19,4,3,2026-04-06,31,Aanwezig
20,4,5,2026-01-10,31,Te laat
21,5,10,2026-04-19,15,Afwezig
22,5,10,2026-05-26,15,Afwezig
23,5,7,2026-03-14,15,Afwezig
24,5,10,2026-01-03,15,Aanwezig
25,5,10,2026-05-11,15,Afwezig
26,6,1,2026-01-25,21,Afwezig
27,6,8,2026-02-07,21,Afwezig
28,6,7,2026-03-18,21,Te laat
29,6,10,2026-03-25,21,Te laat
30,6,5,2026-03-13,21,Te laat
31,7,5,2026-05-22,39,Te laat
32,7,1,2026-02-03,39,Aanwezig
33,7,6,2026-04-21,39,Afwezig
34,7,4,2026-03-09,39,Afwezig
35,7,5,2026-05-18,39,Te laat
36,8,9,2026-04-12,7,Aanwezig
37,8,4,2026-05-30,7,Afwezig
38,8,4,2026-06-08,7,Te laat
39,8,4,2026-02-04,7,Afwezig
40,8,7,2026-04-10,7,Afwezig
41,9,8,2026-01-16,1,Te laat
42,9,10,2026-05-15,1,Te laat
43,9,4,2026-02-14,1,Aanwezig
44,9,3,2026-03-29,1,Te laat
45,9,4,2026-02-09,1,Afwezig
46,10,5,2026-01-26,21,Aanwezig
47,10,1,2026-02-16,21,Afwezig
48,10,2,2026-01-12,21,Aanwezig
49,10,10,2026-03-22,21,Afwezig
50,10,8,2026-03-20,21,Te laat
51,11,2,2026-01-02,17,Te laat
52,11,4,2026-01-04,17,Aanwezig
53,11,8,2026-06-08,17,Afwezig
54,11,4,2026-05-24,17,Te laat
55,11,1,2026-06-26,17,Afwezig
56,12,3,2026-01-23,15,Afwezig
57,12,6,2026-01-09,15,Afwezig
58,12,6,2026-02-01,15,Afwezig
59,12,9,2026-01-03,15,Aanwezig
60,12,6,2026-03-27,15,Te laat
61,13,1,2026-04-28,17,Aanwezig
62,13,5,2026-02-14,17,Afwezig
63,13,9,2026-06-25,17,Te laat
64,13,3,2026-06-03,17,Te laat
65,13,4,2026-06-27,17,Aanwezig
66,14,3,2026-01-17,8,Te laat
67,14,7,2026-01-05,8,Afwezig
68,14,3,2026-01-06,8,Afwezig
69,14,10,2026-05-01,8,Afwezig
70,14,10,2026-04-24,8,Afwezig
71,15,7,2026-05-22,40,Afwezig
72,15,2,2026-02-22,40,Aanwezig
73,15,1,2026-06-24,40,Te laat
74,15,2,2026-05-03,40,Te laat
75,15,10,2026-05-25,40,Aanwezig
76,16,8,2026-03-01,37,Te laat
77,16,2,2026-03-14,37,Afwezig
78,16,6,2026-06-22,37,Afwezig
79,16,8,2026-01-31,37,Te laat
80,16,2,2026-01-27,37,Aanwezig
81,17,1,2026-01-31,29,Afwezig
82,17,5,2026-01-27,29,Afwezig
83,17,10,2026-05-22,29,Aanwezig
84,17,1,2026-06-21,29,Te laat
85,17,2,2026-06-27,29,Aanwezig
86,18,6,2026-03-05,28,Afwezig
87,18,2,2026-01-06,28,Afwezig
88,18,5,2026-06-03,28,Aanwezig
89,18,1,2026-02-25,28,Te laat
90,18,10,2026-03-10,28,Afwezig
91,19,10,2026-03-23,28,Aanwezig
92,19,9,2026-03-02,28,Afwezig
93,19,4,2026-01-21,28,Te laat
94,19,8,2026-01-01,28,Te laat
95,19,7,2026-05-03,28,Afwezig
96,20,3,2026-01-10,25,Aanwezig
97,20,2,2026-04-12,25,Afwezig
98,20,5,2026-06-19,25,Afwezig
99,20,10,2026-05-07,25,Te laat
100,20,5,2026-03-18,25,Aanwezig
101,21,7,2026-03-31,6,Afwezig
102,21,2,2026-06-20,6,Te laat
103,21,9,2026-03-16,6,Afwezig
104,21,9,2026-05-10,6,Aanwezig
105,21,1,2026-06-17,6,Te laat
106,22,6,2026-05-04,29,Afwezig
107,22,7,2026-01-18,29,Afwezig
108,22,1,2026-01-07,29,Afwezig
109,22,4,2026-06-21,29,Te laat
110,22,4,2026-03-05,29,Aanwezig
111,23,8,2026-05-06,16,Te laat
112,23,5,2026-02-13,16,Aanwezig
113,23,7,2026-02-28,16,Te laat
114,23,10,2026-03-03,16,Afwezig
115,23,10,2026-03-04,16,Afwezig
116,24,5,2026-02-04,4,Afwezig
117,24,10,2026-05-07,4,Afwezig
118,24,7,2026-05-19,4,Afwezig
119,24,1,2026-02-21,4,Te laat
